Method,Dataset,#Clients,Alpha,Final Acc(%),Conv.Round,CommMB,MI-AUC,Epsilon
FedAvg,fmnist,10,0.01,1646.0,0,267.1,0.8354,0.0
FedAvg,fmnist,10,0.1,6712.0,0,267.1,0.5,0.0
FedAvg,fmnist,10,0.5,8372.0,0,267.1,0.5,0.0
FedAvg,fmnist,10,1.0,8585.0,0,267.1,0.5,0.0
FedAvg,fmnist,10,iid,8866.0,0,267.1,0.5,0.0
FedAvg,fmnist,50,0.01,1009.0,0,1335.7,0.8991,0.0
FedAvg,fmnist,50,0.1,7468.0,0,1335.7,0.5,0.0
FedAvg,fmnist,50,0.5,8389.0,0,1335.7,0.5,0.0
FedAvg,fmnist,50,1.0,8626.0,0,1335.7,0.5,0.0
FedAvg,fmnist,50,iid,8737.0,0,1335.7,0.5,0.0
FedAvg,fmnist,100,0.01,3840.0,0,2671.4,0.616,0.0
FedAvg,fmnist,100,0.1,7404.0,0,2671.4,0.5,0.0
FedAvg,fmnist,100,0.5,8562.0,0,2671.4,0.5,0.0
FedAvg,fmnist,100,1.0,8554.0,0,2671.4,0.5,0.0
FedAvg,fmnist,100,iid,8650.0,0,2671.4,0.5,0.0
FedAvg,mnist,10,0.01,2307.0,0,267.1,0.7693,0.0
FedAvg,mnist,10,0.1,7505.0,0,267.1,0.5,0.0
FedAvg,mnist,10,0.5,9596.0,0,267.1,0.5,0.0
FedAvg,mnist,10,1.0,9749.0,0,267.1,0.5,0.0
FedAvg,mnist,10,iid,9813.0,0,267.1,0.5,0.0
FedAvg,mnist,50,0.01,2752.0,0,1335.7,0.7248,0.0
FedAvg,mnist,50,0.1,9190.0,0,1335.7,0.5,0.0
FedAvg,mnist,50,0.5,9674.0,0,1335.7,0.5,0.0
FedAvg,mnist,50,1.0,9663.0,0,1335.7,0.5,0.0
FedAvg,mnist,50,iid,9725.0,0,1335.7,0.5,0.0
FedAvg,mnist,100,0.01,3958.0,0,2671.4,0.6042,0.0
FedAvg,mnist,100,0.1,9456.0,0,2671.4,0.5,0.0
FedAvg,mnist,100,0.5,9564.0,0,2671.4,0.5,0.0
FedAvg,mnist,100,1.0,9614.0,0,2671.4,0.5,0.0
FedAvg,mnist,100,iid,9627.0,0,2671.4,0.5,0.0
